[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:17] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:18] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
[2025-07-27 00:39:18] [INFO] [RuleStrategyE] RuleStrategyE 초기화: Breakout(8/15/40), Range(0.002), TP/SL(2.0%/0.8%)
